ODA/BLZ_GGXWDG,"Belize General Government Gross Debt, USD Billions"
ODA/BRA_GGSB,"Brazil General Government Structural Balance, USD Billions"
ODA/POILWTI_USD,WTI Crude Oil Price
ODA/ZMB_PCPIEPCH,"Zambia Inflation % change, End of Period Consumer Prices"
ODA/BTN_TMG_RPCH,"Bhutan Imports of Goods, % change"
ODA/BTN_TXG_RPCH,"Bhutan Exports of Goods, % change"
ODA/LBN_PCPIEPCH,"Lebanon Inflation % change, End of Period Consumer Prices"
ODA/LTU_PCPIEPCH,"Lithuania Inflation % change, End of Period Consumer Prices"
ODA/UVK_PCPIPCH,"Kosovo Inflation % change, Average Consumer Prices"
ODA/MHL_PCPIPCH,"Marshall Islands Inflation % change, Average Consumer Prices"
ODA/TUR_TM_RPCH,"Turkey Imports of Goods and services, % change"
ODA/PMAIZMT_USD,Maize (Corn) Price
ODA/MNE_GGXWDN,"Montenegro General Government Net Debt, USD Billions"
ODA/YEM_TX_RPCH,"Yemen Exports of Goods and services, % change"
ODA/LVA_NGDP_D,Latvia GDP Deflator
ODA/VEN_GGSB,"Venezuela General Government Structural Balance, USD Billions"
ODA/TUN_NGDPDPC,"Tunisia GDP per Capita at Current Prices, USD"
ODA/IRN_GGXONLB_NGDP,"Islamic Republic of Iran General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/GMB_NGDPRPC,"The Gambia GDP per Capita at Constant Prices, LCU"
ODA/HND_NGDPDPC,"Honduras GDP per Capita at Current Prices, USD"
ODA/JPN_FLIBOR6,"Japan Six-month London Interbank Offered Rate (LIBOR), %"
ODA/TUN_PCPIEPCH,"Tunisia Inflation % change, End of Period Consumer Prices"
ODA/BRA_GGXWDG,"Brazil General Government Gross Debt, USD Billions"
ODA/GNB_PCPIEPCH,"Guinea-Bissau Inflation % change, End of Period Consumer Prices"
ODA/PROIL_USD,Rapeseed Oil Price
ODA/GIN_PCPIEPCH,"Guinea Inflation % change, End of Period Consumer Prices"
ODA/LSO_PCPIPCH,"Lesotho Inflation % change, Average Consumer Prices"
ODA/POL_NGDPDPC,"Poland GDP per Capita at Current Prices, USD"
ODA/GRD_NGDPRPC,"Grenada GDP per Capita at Constant Prices, LCU"
ODA/MDA_NGDPRPC,"Moldova GDP per Capita at Constant Prices, LCU"
ODA/URY_GGX_NGDP,"Uruguay General Government Total Expenditure, % of GDP"
ODA/USA_GGXWDG,"United States General Government Gross Debt, USD Billions"
ODA/PER_PCPIEPCH,"Peru Inflation % change, End of Period Consumer Prices"
ODA/TTO_GGXWDN_NGDP,"Trinidad and Tobago General Government Net Debt, % of GDP"
ODA/GUY_GGX_NGDP,"Guyana General Government Total Expenditure, % of GDP"
ODA/JOR_GGX_NGDP,"Jordan General Government Total Expenditure, % of GDP"
ODA/ZAF_PCPIPCH,"South Africa Inflation % change, Average Consumer Prices"
ODA/NAM_PCPIEPCH,"Namibia Inflation % change, End of Period Consumer Prices"
ODA/MDG_NGDPDPC,"Madagascar GDP per Capita at Current Prices, USD"
ODA/ISL_PCPIEPCH,"Iceland Inflation % change, End of Period Consumer Prices"
ODA/ARG_PCPIEPCH,"Argentina Inflation % change, End of Period Consumer Prices"
ODA/JAM_GGX_NGDP,"Jamaica General Government Total Expenditure, % of GDP"
ODA/SYR_PCPIEPCH,"Syria Inflation % change, End of Period Consumer Prices"
ODA/EST_NGDPPC,"Estonia GDP per Capita at Current Prices, LCU"
ODA/KIR_NGDPDPC,"Kiribati GDP per Capita at Current Prices, USD"
ODA/PER_NGDPDPC,"Peru GDP per Capita at Current Prices, USD"
ODA/LBN_PCPIPCH,"Lebanon Inflation % change, Average Consumer Prices"
ODA/LBY_PCPIPCH,"Libya Inflation % change, Average Consumer Prices"
ODA/NER_PCPIEPCH,"Niger Inflation % change, End of Period Consumer Prices"
ODA/GRC_PCPIPCH,"Greece Inflation % change, Average Consumer Prices"
ODA/PRT_GGXWDG_NGDP,"Portugal General Government Gross Debt, % of GDP"
ODA/NER_NGDPRPC,"Niger GDP per Capita at Constant Prices, LCU"
ODA/BRA_NGDP_FY,"Brazil GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/KOR_NGDPPC,"Korea GDP per Capita at Current Prices, LCU"
ODA/TCD_NGDPPC,"Chad GDP per Capita at Current Prices, LCU"
ODA/BEN_PCPIPCH,"Benin Inflation % change, Average Consumer Prices"
ODA/POILDUB_USD,Dubai Crude Oil Price
ODA/MOZ_GGR_NGDP,"Mozambique General Government Revenue, % of GDP"
ODA/DJI_PCPIPCH,"Djibouti Inflation % change, Average Consumer Prices"
ODA/SYC_PCPIEPCH,"Seychelles Inflation % change, End of Period Consumer Prices"
ODA/YEM_NGDPRPC,"Yemen GDP per Capita at Constant Prices, LCU"
ODA/NIC_NGDP_RPCH,"Nicaragua GDP at Constant Prices, % change"
ODA/MYS_NGDPRPC,"Malaysia GDP per Capita at Constant Prices, LCU"
ODA/KWT_GGXCNL_NGDP,"Kuwait General Government Net Lending/Borrowing, % of GDP"
ODA/IRQ_NGDPRPC,"Iraq GDP per Capita at Constant Prices, LCU"
ODA/PRT_PCPIPCH,"Portugal Inflation % change, Average Consumer Prices"
ODA/SGP_GGX_NGDP,"Singapore General Government Total Expenditure, % of GDP"
ODA/SGP_PCPIEPCH,"Singapore Inflation % change, End of Period Consumer Prices"
ODA/MDA_PCPIPCH,"Moldova Inflation % change, Average Consumer Prices"
ODA/UKR_NGDPPC,"Ukraine GDP per Capita at Current Prices, LCU"
ODA/NER_NGDPPC,"Niger GDP per Capita at Current Prices, LCU"
ODA/ARG_PCPI,"Argentina Inflation Index, Average Consumer Prices"
ODA/GAB_NGDP_D,Gabon GDP Deflator
ODA/SSD_NGDPRPC,"South Sudan GDP per Capita at Constant Prices, LCU"
ODA/JOR_PCPIEPCH,"Jordan Inflation % change, End of Period Consumer Prices"
ODA/CZE_PCPIPCH,"Czech Republic Inflation % change, Average Consumer Prices"
ODA/LAO_GGX_NGDP,"Lao P.D.R. General Government Total Expenditure, % of GDP"
ODA/LKA_PCPIEPCH,"Sri Lanka Inflation % change, End of Period Consumer Prices"
ODA/JAM_NGDPPC,"Jamaica GDP per Capita at Current Prices, LCU"
ODA/LBR_PCPIPCH,"Liberia Inflation % change, Average Consumer Prices"
ODA/PRY_LP,"Paraguay Population, Millions"
ODA/GRC_NGAP_NPGDP,"Greece Output Gap, % of potential GDP"
ODA/URY_NGDPDPC,"Uruguay GDP per Capita at Current Prices, USD"
ODA/POILAPSP_INDEX,Blended Crude Oil Price
ODA/GUY_NGDPRPC,"Guyana GDP per Capita at Constant Prices, LCU"
ODA/CHE_GGXONLB_NGDP,"Switzerland General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/LTU_NGDPDPC,"Lithuania GDP per Capita at Current Prices, USD"
ODA/SWE_PCPIEPCH,"Sweden Inflation % change, End of Period Consumer Prices"
ODA/ZWE_GGR_NGDP,"Zimbabwe General Government Revenue, % of GDP"
ODA/LAO_NGDPDPC,"Lao P.D.R. GDP per Capita at Current Prices, USD"
ODA/KIR_NGDP_D,Kiribati GDP Deflator
ODA/LSO_NGDPDPC,"Lesotho GDP per Capita at Current Prices, USD"
