id,dataset_code,database_code,name,description,refreshed_at,newest_available_date,oldest_available_date,column_names,frequency,type,premium,database_id
11479605,BGD_GGXWDG,ODA,"Bangladesh General Government Gross Debt, USD Billions","Bangladesh General Government Gross Debt, USD Billions.  Units: National currency.  Multiplier: Billions.  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).  Source: Ministry of Finance or Treasury. GGR (Total Revenue) includes Grants starting 1990 on wards. Before, GGR does not include grants. Latest actual data: 2013/14 Start/end months of reporting year: July/June GFS Manual used: Other Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Nominal value Primary domestic currency: Bangladesh taka Data last updated: 08/2015.",2015-12-18 17:18:58 UTC,2020-12-31,2003-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11479606,BGD_GGXWDG_NGDP,ODA,"Bangladesh General Government Gross Debt, % of GDP","Bangladesh General Government Gross Debt, % of GDP.  Units: Percent of GDP.  Multiplier: .  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).  See notes for:  General government gross debt (National currency)..",2015-12-18 17:18:58 UTC,2020-12-31,2003-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11479913,DOM_GGXWDN,ODA,"Dominican Republic General Government Net Debt, USD Billions","Dominican Republic General Government Net Debt, USD Billions.  Units: National currency.  Multiplier: Billions.  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.  Source: Ministry of Finance or Treasury Latest actual data: 2014 Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Dominican peso Data last updated: 09/2015.",2015-12-18 17:19:17 UTC,2020-12-31,1997-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11479914,DOM_GGXWDN_NGDP,ODA,"Dominican Republic General Government Net Debt, % of GDP","Dominican Republic General Government Net Debt, % of GDP.  Units: Percent of GDP.  Multiplier: .  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.  See notes for:  General government net debt (National currency)..",2015-12-18 17:19:17 UTC,2020-12-31,1997-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11480560,LVA_LE,ODA,"Latvia Employment, Millions","Latvia Employment, Millions.  Units: Persons.  Multiplier: Millions.  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Employment can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. Persons who during a specified brief period such as one week or one day, (a) performed some work for wage or salary in cash or in kind, (b) had a formal attachment to their job but were temporarily not at work during the reference period, (c) performed some work for profit or family gain in cash or in kind, (d) were with an enterprise such as a business, farm or service but who were temporarily not at work during the reference period for any specific reason. [Current International Recommendations on Labour Statistics, 1988 Edition, ILO, Geneva, page 47]  Source: National Statistics Office Latest actual data: 2013 Notes: Labor statistics are based on Labor Force Survey data, which were revised in 2011 in compliance with Population and Housing Census 2011 results; data before 2011 have not been revised yet. Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 07/2015.",2015-12-18 17:19:42 UTC,2016-12-31,1992-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11480586,LBR_TM_RPCH,ODA,"Liberia Imports of Goods and services, % change","Liberia Imports of Goods and services, % change.  Units: Percent change.  Multiplier: .  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]  Source: Central Bank. Central Bank of Liberia Latest actual data: 2013 Base year: 2009 Primary domestic currency: U.S. dollars Data last updated: 09/2015.",2015-12-18 17:19:44 UTC,2020-12-31,2000-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11480587,LBR_TX_RPCH,ODA,"Liberia Exports of Goods and services, % change","Liberia Exports of Goods and services, % change.  Units: Percent change.  Multiplier: .  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]  Source: Central Bank. Central Bank of Liberia Latest actual data: 2013 Base year: 2009 Primary domestic currency: U.S. dollars Data last updated: 09/2015.",2015-12-18 17:19:44 UTC,2020-12-31,2000-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11480667,MDV_GGSB,ODA,"Maldives General Government Structural Balance, USD Billions","Maldives General Government Structural Balance, USD Billions.  Units: National currency.  Multiplier: Billions.  Estimates begin after 2011 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  The structural budget balance refers to the general government cyclically adjusted balance adjusted for nonstructural elements beyond the economic cycle. These include temporary financial sector and asset price movements as well as one-off, or temporary, revenue or expenditure items. The cyclically adjusted balance is the fiscal balance adjusted for the effects of the economic cycle; see, for example, A. Fedelino. A. Ivanova and M. Horton ?Computing Cyclically Adjusted Balances and Automatic Stabilizers? IMF Technical Guidance Note No. 5, http://www.imf.org/external/pubs/ft/tnm/2009/tnm0905.pdf.  Source: Ministry of Finance and Treasury Latest actual data: 2011. budget estimates Start/end months of reporting year: January/December. Calendar GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Nominal value. During the mission in Oct/Nov 2010, we found that the public guaranteed SOE debt for 2009 was only 20 percent of the figure previously reported. As a result, public debt to GDP ratio has declined significantly for 2009. Primary domestic currency: Maldivian rufiyaa Data last updated: 08/2014.",2015-04-21 14:41:41 UTC,2019-12-31,1990-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11480669,MDV_GGXWDN,ODA,"Maldives General Government Net Debt, USD Billions","Maldives General Government Net Debt, USD Billions.  Units: National currency.  Multiplier: Billions.  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.  Source: Ministry of Finance and Treasury Latest actual data: 2014. budget estimates Start/end months of reporting year: January/December. Calendar GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Nominal value. During the mission in Oct/Nov 2010, we found that the public guaranteed SOE debt for 2009 was only 20 percent of the figure previously reported. As a result, public debt to GDP ratio has declined significantly for 2009. Primary domestic currency: Maldivian rufiyaa Data last updated: 09/2015.",2015-12-18 17:19:47 UTC,2020-12-31,1990-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11480670,MDV_GGXWDN_NGDP,ODA,"Maldives General Government Net Debt, % of GDP","Maldives General Government Net Debt, % of GDP.  Units: Percent of GDP.  Multiplier: .  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.  See notes for:  General government net debt (National currency)..",2015-12-18 17:19:47 UTC,2020-12-31,1990-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
